game,model,experiment,metric,mean,std,var,median,max,min,skew
adventuregame,Llama-3-70B-Instruct,basic-easy,Aborted,0.4375,0.51234753829798,0.2625,0.0,1.0,0.0,0.27882859227100953
adventuregame,Llama-3-70B-Instruct,basic-easy,Lose,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-easy,Main Score,56.25,51.234753829797995,2625.0,100.0,100.0,0.0,-0.27882859227100953
adventuregame,Llama-3-70B-Instruct,basic-easy,Parsed Request Count,17.3125,7.162110955111862,51.29583333333334,14.5,31.0,9.0,0.6788054612815885
adventuregame,Llama-3-70B-Instruct,basic-easy,Played,0.5625,0.51234753829798,0.2625,1.0,1.0,0.0,-0.27882859227100953
adventuregame,Llama-3-70B-Instruct,basic-easy,Request Count,17.75,7.27094675174194,52.86666666666667,15.5,32.0,9.0,0.6868011828809003
adventuregame,Llama-3-70B-Instruct,basic-easy,Request Success Ratio,0.9746077575051759,0.03272690997023887,0.00107105063620012,1.0,1.0,0.9166666666666666,-0.8049290403126695
adventuregame,Llama-3-70B-Instruct,basic-easy,Success,0.5625,0.51234753829798,0.2625,1.0,1.0,0.0,-0.27882859227100953
adventuregame,Llama-3-70B-Instruct,basic-easy,Violated Request Count,0.4375,0.51234753829798,0.2625,0.0,1.0,0.0,0.27882859227100953
adventuregame,Llama-3-70B-Instruct,basic-easy,achieved_goal_ratio,0.5625,0.51234753829798,0.2625,1.0,1.0,0.0,-0.27882859227100953
adventuregame,Llama-3-70B-Instruct,basic-easy,action_parsing_fail,1.3125,1.9224550276491084,3.6958333333333337,0.5,6.0,0.0,1.5499488072590333
adventuregame,Llama-3-70B-Instruct,basic-easy,action_resolution_fail,1.8125,1.5585784121008048,2.4291666666666663,1.0,5.0,0.0,0.7164465196185513
adventuregame,Llama-3-70B-Instruct,basic-easy,bad_plan_dismiss_ratio,1.0,0.0,0.0,1.0,1.0,1.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-easy,bad_plan_follow_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-easy,entity_already_inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-easy,entity_not_accessible,0.75,1.1254628677422756,1.2666666666666666,0.0,3.0,0.0,1.2025127593605636
adventuregame,Llama-3-70B-Instruct,basic-easy,finish_speed,0.14052224578540365,0.15632887423380765,0.02443871691920965,0.0999999999999999,0.4,0.0,1.0936551832833115
adventuregame,Llama-3-70B-Instruct,basic-easy,going_to_current_room,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-easy,hallucination_count,0.25,0.4472135954999579,0.2,0.0,1.0,0.0,1.2777531299998799
adventuregame,Llama-3-70B-Instruct,basic-easy,lark_exception,0.125,0.3415650255319866,0.11666666666666665,0.0,1.0,0.0,2.5094573304390857
adventuregame,Llama-3-70B-Instruct,basic-easy,malformed_command,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-easy,manipulating_room,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-easy,multiple_entity_ambiguity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-easy,multiple_exits_to,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-easy,no_exit_to,0.875,0.6191391873668903,0.38333333333333336,1.0,2.0,0.0,0.06019176544749677
adventuregame,Llama-3-70B-Instruct,basic-easy,not_room_type,0.0625,0.25,0.0625,0.0,1.0,0.0,4.0
adventuregame,Llama-3-70B-Instruct,basic-easy,other_room_argument,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-easy,plan_average_viability_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-easy,plan_followed_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-easy,pre_state_mismatch,0.125,0.5,0.25,0.0,2.0,0.0,4.0
adventuregame,Llama-3-70B-Instruct,basic-easy,successful_actions,14.1875,4.323867867238005,18.695833333333336,13.0,21.0,9.0,0.34603906547735813
adventuregame,Llama-3-70B-Instruct,basic-easy,taking_from_inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-easy,thing_arg1_room,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-easy,thing_arg2_room,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-easy,turn_limit_loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-easy,turn_ratio,0.8594777542145963,0.15632887423380765,0.024438716919209652,0.9,1.0,0.6,-1.0936551832833121
adventuregame,Llama-3-70B-Instruct,basic-easy,turns_over_par,5.444444444444445,6.085045421176228,37.02777777777778,4.0,16.0,0.0,1.1371521958986484
adventuregame,Llama-3-70B-Instruct,basic-easy,undefined_action,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-easy,undefined_action_verb,1.0,1.5055453054181622,2.266666666666667,0.0,5.0,0.0,1.6075026493837026
adventuregame,Llama-3-70B-Instruct,basic-easy,undefined_argument_type,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-easy,undefined_repr_str,0.1875,0.4031128874149275,0.1625,0.0,1.0,0.0,1.7719247798458353
adventuregame,Llama-3-70B-Instruct,basic-hard,Aborted,0.75,0.4472135954999579,0.2,1.0,1.0,0.0,-1.2777531299998799
adventuregame,Llama-3-70B-Instruct,basic-hard,Lose,0.0625,0.24999999999999997,0.06249999999999999,0.0,1.0,0.0,4.0
adventuregame,Llama-3-70B-Instruct,basic-hard,Main Score,52.08333333333333,34.359213546813834,1180.5555555555554,66.66666666666666,100.0,0.0,-0.19076751683530027
adventuregame,Llama-3-70B-Instruct,basic-hard,Parsed Request Count,28.5,11.021191708098842,121.46666666666667,28.5,50.0,9.0,-0.009732202301277052
adventuregame,Llama-3-70B-Instruct,basic-hard,Played,0.25,0.447213595499958,0.20000000000000004,0.0,1.0,0.0,1.2777531299998799
adventuregame,Llama-3-70B-Instruct,basic-hard,Request Count,29.25,10.847426730181986,117.66666666666667,29.0,50.0,10.0,-0.02256380364550852
adventuregame,Llama-3-70B-Instruct,basic-hard,Request Success Ratio,0.9664302657575493,0.028571850255294403,0.0008163506270109668,0.9700892857142858,1.0,0.9,-0.884691550291978
adventuregame,Llama-3-70B-Instruct,basic-hard,Success,0.1875,0.4031128874149275,0.1625,0.0,1.0,0.0,1.7719247798458353
adventuregame,Llama-3-70B-Instruct,basic-hard,Violated Request Count,0.75,0.4472135954999579,0.2,1.0,1.0,0.0,-1.2777531299998799
adventuregame,Llama-3-70B-Instruct,basic-hard,achieved_goal_ratio,0.5208333333333334,0.34359213546813844,0.1180555555555556,0.6666666666666666,1.0,0.0,-0.1907675168353
adventuregame,Llama-3-70B-Instruct,basic-hard,action_parsing_fail,3.625,3.1806707887907337,10.116666666666667,3.0,10.0,0.0,0.5909134216896728
adventuregame,Llama-3-70B-Instruct,basic-hard,action_resolution_fail,4.0,3.1832897030168854,10.133333333333331,4.0,12.0,0.0,1.0061941631518552
adventuregame,Llama-3-70B-Instruct,basic-hard,bad_plan_dismiss_ratio,1.0,0.0,0.0,1.0,1.0,1.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-hard,bad_plan_follow_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-hard,entity_already_inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-hard,entity_not_accessible,1.8125,1.3768926368215255,1.8958333333333333,2.0,4.0,0.0,0.38240498798828826
adventuregame,Llama-3-70B-Instruct,basic-hard,finish_speed,0.4320050600885515,0.16153105523299513,0.026092281804684925,0.3548387096774194,0.6176470588235294,0.3235294117647058,1.6591317490251163
adventuregame,Llama-3-70B-Instruct,basic-hard,going_to_current_room,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-hard,hallucination_count,0.5625,0.51234753829798,0.2625,1.0,1.0,0.0,-0.27882859227100953
adventuregame,Llama-3-70B-Instruct,basic-hard,lark_exception,0.375,0.5,0.25,0.0,1.0,0.0,0.5714285714285715
adventuregame,Llama-3-70B-Instruct,basic-hard,malformed_command,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-hard,manipulating_room,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-hard,multiple_entity_ambiguity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-hard,multiple_exits_to,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-hard,no_exit_to,2.0625,1.8427786989579986,3.395833333333334,2.0,7.0,0.0,1.1377285546263451
adventuregame,Llama-3-70B-Instruct,basic-hard,not_room_type,0.125,0.3415650255319866,0.11666666666666667,0.0,1.0,0.0,2.5094573304390857
adventuregame,Llama-3-70B-Instruct,basic-hard,other_room_argument,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-hard,plan_average_viability_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-hard,plan_followed_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-hard,pre_state_mismatch,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-hard,successful_actions,20.875,8.155775050028454,66.51666666666665,23.0,31.0,1.0,-1.4872817282185973
adventuregame,Llama-3-70B-Instruct,basic-hard,taking_from_inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-hard,thing_arg1_room,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-hard,thing_arg2_room,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-hard,turn_limit_loss,0.0625,0.24999999999999997,0.06249999999999999,0.0,1.0,0.0,4.0
adventuregame,Llama-3-70B-Instruct,basic-hard,turn_ratio,0.5679949399114484,0.1615310552329951,0.02609228180468491,0.6451612903225806,0.6764705882352942,0.3823529411764705,-1.6591317490251158
adventuregame,Llama-3-70B-Instruct,basic-hard,turns_over_par,14.333333333333334,5.773502691896258,33.333333333333336,11.0,21.0,11.0,1.7320508075688765
adventuregame,Llama-3-70B-Instruct,basic-hard,undefined_action,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,Llama-3-70B-Instruct,basic-hard,undefined_action_verb,2.6875,2.7010800309012195,7.295833333333333,3.0,9.0,0.0,0.7271845740497265
