,"-, clemscore","adventuregame, % Played","adventuregame, Quality Score","adventuregame, Quality Score (std)","all, Average % Played","all, Average Quality Score"
LLaMA2-13B-Tiefighter-t0.0--LLaMA2-13B-Tiefighter-t0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama-3-70B-Instruct-Groq-t0.0--Llama-3-70B-Instruct-Groq-t0.0,17.22,35.94,47.92,44.0,35.94,47.92
Llama-3-8B-Instruct-Groq-t0.0--Llama-3-8B-Instruct-Groq-t0.0,7.29,43.75,16.67,31.43,43.75,16.67
Meta-Llama-3.1-405B-Instruct-Turbo-TogetherAI-t0.0--Meta-Llama-3.1-405B-Instruct-Turbo-TogetherAI-t0.0,45.9,62.5,73.44,38.11,62.5,73.44
Mistral-Large-Instruct-2407-t0.0--Mistral-Large-Instruct-2407-t0.0,15.04,32.81,45.83,44.25,32.81,45.83
Qwen1.5-72B-Chat-t0.0--Qwen1.5-72B-Chat-t0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2-72B-Instruct-t0.0--Qwen2-72B-Instruct-t0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma-2-9b-it-GGUF-q5-t0.0--gemma-2-9b-it-GGUF-q5-t0.0,12.64,57.81,21.87,33.18,57.81,21.87
gemma-7b-it-Groq-t0.0--gemma-7b-it-Groq-t0.0,0.34,21.88,1.56,9.26,21.88,1.56
gemma2-9b-it-Groq-t0.0--gemma2-9b-it-Groq-t0.0,13.22,43.75,30.21,38.36,43.75,30.21
llama-3.1-70b-versatile-Groq-t0.0--llama-3.1-70b-versatile-Groq-t0.0,25.64,46.88,54.69,43.39,46.88,54.69
llama-3.1-8b-instant-Groq-t0.0--llama-3.1-8b-instant-Groq-t0.0,23.13,76.56,30.21,35.99,76.56,30.21
openchat_3.5-GGUF-q5-t0.0--openchat_3.5-GGUF-q5-t0.0,7.35,67.19,10.94,23.04,67.19,10.94
openchat_3.5-t0.0--openchat_3.5-t0.0,0.0,0.0,0.0,0.0,0.0,0.0
